branch,cgpa,interest_domain,favorite_subject,technical_skills,projects_count,certifications_count,internship_experience,aptitude_score,logical_score,analytical_score,creativity_score,communication_score,coding_score,preferred_work_style,recommended_career
Mechanical,8.4,AI,Python,"Deep Learning,Docker,Excel,ML,Python",5,1,No,77,69,66,73,86,82,Analytical,Machine Learning Engineer
Mechanical,8.4,Security,Network Security,"Docker,Linux,Networking,OWASP,SIEM",3,0,No,82,74,79,89,71,76,Coding,Cybersecurity Analyst
ECE,9.2,Web,JavaScript,"CSS,Git,HTML,JavaScript,Node,React,SQL",4,0,No,59,58,57,47,61,70,Management,Full Stack Developer
Civil,7.9,Design,Graphics,"Figma,Prototyping,Research,Wireframes",1,1,No,62,67,70,87,66,66,Coding,UI/UX Designer
EEE,6.5,Web,Web Technology,"API testing,SQL,Selenium,Testing",0,0,No,75,66,75,67,73,66,Management,QA/Test Engineer
ECE,6.3,Web,JavaScript,"API testing,Excel,SQL,Selenium,Testing",2,1,Yes,88,85,99,99,78,91,Creative,QA/Test Engineer
EEE,6.8,Business,Management,"Agile,Documentation,Excel,SQL",3,1,No,85,87,96,88,99,98,Management,Business Analyst
Mechanical,7.3,Web,Web Technology,"Communication,Git,Linux,Python,REST,SQL",3,1,No,63,58,68,68,64,69,Coding,Backend Developer
IT,6.5,Web,Computer Networks,"API testing,SQL,Selenium,Testing",2,2,No,66,58,77,79,51,59,Coding,QA/Test Engineer
IT,6.1,Cloud,OS,"AWS,Docker,Teamwork,Terraform",5,2,No,89,89,91,72,75,89,Creative,Cloud Engineer
Civil,6.3,Data,Data Mining,"ML,Python,SQL,Statistics",5,2,No,55,48,61,50,47,71,Creative,Data Scientist
EEE,7.8,Web,Web Technology,"CSS,Git,HTML,JavaScript,Node,React,SQL",2,1,No,75,67,85,71,71,95,Coding,Full Stack Developer
Civil,9.4,Web,JavaScript,"CSS,Git,JavaScript,Node,React,SQL",4,0,No,73,79,75,89,74,78,Analytical,Full Stack Developer
Civil,7.9,Web,Computer Networks,"CSS,Excel,Git,HTML,JavaScript,React",2,2,Yes,67,74,64,68,63,62,Coding,Frontend Developer
EEE,9.0,Web,Web Technology,"CSS,Git,HTML,JavaScript,React",2,2,No,93,90,99,98,95,83,Analytical,Frontend Developer
IT,6.6,Business,Management,"Agile,Documentation,Excel,SQL,Teamwork",0,2,No,56,50,66,41,60,58,Creative,Business Analyst
ECE,7.7,Web,Computer Networks,"CSS,Docker,Git,HTML,JavaScript,React",2,3,No,74,67,70,80,62,87,Analytical,Frontend Developer
EEE,9.3,Cloud,Cloud Computing,"CI/CD,Docker,Git,Kubernetes,Linux",1,0,No,73,81,76,73,88,87,Analytical,DevOps Engineer
IT,8.8,Business,Management,"Agile,Documentation,Excel,Linux,SQL",5,2,No,92,91,97,83,91,97,Coding,Business Analyst
Civil,8.6,Mobile,Mobile Computing,"Android,Git,Kotlin,REST",2,1,Yes,90,91,90,93,88,99,Management,Android Developer
Mechanical,7.8,Design,UI Basics,"Excel,Figma,Prototyping,Research,Wireframes",2,1,Yes,65,67,55,79,74,67,Coding,UI/UX Designer
Mechanical,7.0,Web,JavaScript,"CSS,Git,HTML,JavaScript,Node,React,SQL",5,1,No,87,84,82,76,78,99,Analytical,Full Stack Developer
Mechanical,9.1,Web,JavaScript,"CSS,Git,HTML,JavaScript,React,Teamwork",3,2,No,65,73,67,66,69,72,Creative,Frontend Developer
EEE,7.1,Design,HCI,"Figma,Prototyping,Research,Wireframes",1,1,No,56,60,45,72,68,75,Coding,UI/UX Designer
ECE,7.2,Cloud,Computer Networks,"CI/CD,Docker,Git,Kubernetes,Linux",0,1,No,81,84,83,81,71,96,Management,DevOps Engineer
Mechanical,9.1,Mobile,Kotlin,"Android,Git,Kotlin,REST,Teamwork",0,3,Yes,67,59,56,58,82,63,Analytical,Android Developer
Mechanical,6.5,Security,OS,"Linux,Networking,OWASP,SIEM",5,3,No,69,70,64,60,81,87,Coding,Cybersecurity Analyst
EEE,6.5,AI,Python,"Communication,Deep Learning,Docker,ML,Python,SQL",1,2,No,64,65,53,64,55,78,Creative,Machine Learning Engineer
IT,8.6,AI,Python,"Deep Learning,Docker,ML,Python,SQL,Teamwork",4,1,No,66,74,61,64,57,59,Analytical,Machine Learning Engineer
EEE,6.9,Web,Web Technology,"CSS,Git,HTML,JavaScript,React",0,2,No,59,49,71,51,68,49,Analytical,Frontend Developer
Mechanical,6.2,Cloud,OS,"CI/CD,Docker,Git,Kubernetes,Linux",5,1,No,65,61,77,81,50,78,Creative,DevOps Engineer
Mechanical,9.4,Data,DBMS,"Excel,Pandas,Python,SQL,Statistics,Tableau",0,2,No,63,68,73,54,70,69,Analytical,Data Analyst
CSE,6.6,Business,Management,"Agile,Documentation,Excel,Git,SQL",0,2,Yes,72,79,67,60,65,64,Coding,Business Analyst
ECE,7.8,Data,Data Mining,"ML,Pandas,Python,SQL,Statistics",0,3,No,87,85,96,72,87,99,Analytical,Data Scientist
Civil,6.7,Data,Statistics,"Excel,Pandas,Python,SQL,Tableau",3,3,No,74,79,82,79,75,93,Management,Data Analyst
EEE,8.2,Design,HCI,"Figma,Prototyping,Research,Wireframes",2,3,No,59,69,49,61,54,56,Coding,UI/UX Designer
EEE,9.3,Mobile,Java,"Android,Git,Kotlin",1,0,Yes,82,84,92,65,72,99,Coding,Android Developer
Mechanical,8.2,AI,Python,"Deep Learning,Docker,ML,Python,SQL",3,2,No,58,59,53,69,53,65,Management,Machine Learning Engineer
IT,7.0,Web,Computer Networks,"Git,Linux,Python,REST,SQL",3,2,No,87,97,94,96,75,99,Creative,Backend Developer
CSE,9.1,Cloud,Cloud Computing,"AWS,Docker,Terraform",5,3,No,64,70,74,67,77,66,Creative,Cloud Engineer
Mechanical,8.1,Mobile,Mobile Computing,"Android,Docker,Git,Kotlin,REST",1,1,Yes,55,57,59,60,55,57,Management,Android Developer
EEE,7.6,AI,ML,"Deep Learning,Docker,ML,Python,SQL",0,0,No,81,90,70,98,83,71,Creative,Machine Learning Engineer
IT,7.8,Cloud,Computer Networks,"CI/CD,Docker,Git,Kubernetes,Linux",1,0,No,64,67,68,60,75,60,Creative,DevOps Engineer
ECE,8.4,Security,OS,"Linux,Networking,OWASP,SIEM",0,0,Yes,83,89,91,88,70,89,Management,Cybersecurity Analyst
ECE,6.8,Mobile,Java,"Android,Git,Kotlin,REST",5,0,No,89,86,97,99,76,99,Coding,Android Developer
ECE,9.2,Data,Data Mining,"Excel,Git,Pandas,Python,SQL,Tableau",1,1,Yes,71,73,86,79,65,68,Analytical,Data Analyst
Civil,8.4,Data,Statistics,"Excel,Pandas,Python,SQL,Tableau",2,2,Yes,68,77,70,57,76,93,Management,Data Analyst
Mechanical,9.0,Cloud,Computer Networks,"CI/CD,Docker,Git,Kubernetes,Linux,Teamwork",2,2,Yes,70,74,67,65,82,88,Analytical,DevOps Engineer
Civil,7.7,Web,Web Technology,"API testing,SQL,Testing",2,3,No,63,59,64,58,67,59,Coding,QA/Test Engineer
Civil,6.8,Data,DBMS,"Excel,Pandas,Python,SQL,Tableau",0,0,No,79,84,86,96,79,71,Creative,Data Analyst
Civil,8.5,Security,Network Security,"Linux,Networking,OWASP,SIEM",5,3,Yes,58,61,70,61,54,76,Management,Cybersecurity Analyst
IT,8.0,Design,UI Basics,"Figma,Prototyping,Research,Wireframes",5,2,No,90,80,91,99,81,84,Analytical,UI/UX Designer
EEE,9.4,Mobile,Kotlin,"Git,Kotlin,REST",1,3,No,74,66,84,67,79,87,Management,Android Developer
Civil,6.9,Cloud,Cloud Computing,"CI/CD,Docker,Git,Kubernetes,Linux",4,2,No,56,66,68,41,61,66,Analytical,DevOps Engineer
CSE,8.4,Security,Cryptography,"Linux,Networking,OWASP,SIEM",0,1,No,76,86,74,88,90,81,Creative,Cybersecurity Analyst
ECE,9.3,Security,Network Security,"Linux,Networking,OWASP,SIEM",1,0,No,83,80,90,96,90,83,Management,Cybersecurity Analyst
CSE,7.0,Web,Web Technology,"CSS,Git,HTML,JavaScript,React",5,2,No,87,88,78,95,98,97,Analytical,Frontend Developer
EEE,9.5,Web,JavaScript,"CSS,Git,HTML,JavaScript,Node,React,SQL",0,0,No,87,78,89,84,78,95,Coding,Full Stack Developer
Civil,7.5,Web,Computer Networks,"Git,Linux,Python,REST,SQL",4,0,No,82,88,73,82,88,93,Management,Backend Developer
Civil,9.4,Cloud,Computer Networks,"AWS,Docker,Networking,Terraform",4,3,No,73,63,62,78,86,80,Creative,Cloud Engineer
IT,7.3,AI,ML,"Deep Learning,Docker,ML,Python,SQL",2,1,No,87,84,91,74,84,88,Creative,Machine Learning Engineer
ECE,7.1,Data,ML,"Excel,Pandas,Python,SQL,Tableau",2,3,Yes,83,76,99,93,78,87,Coding,Data Analyst
IT,8.5,Mobile,Kotlin,"Android,Git,Kotlin,REST",5,0,No,86,81,76,87,97,97,Management,Android Developer
Civil,8.6,Web,Web Technology,"CSS,Git,HTML,JavaScript,React",4,0,No,73,77,67,94,83,81,Coding,Frontend Developer
EEE,7.6,Business,DBMS,"Agile,Documentation,Excel,SQL",1,2,No,70,60,75,79,90,89,Management,Business Analyst
EEE,6.5,Data,Data Mining,"Excel,Pandas,Python,SQL,Tableau",3,1,No,93,86,89,99,92,99,Coding,Data Analyst
ECE,8.7,Data,Data Mining,"Linux,ML,Pandas,Python,SQL,Statistics",2,1,No,91,98,96,88,90,99,Management,Data Scientist
ECE,6.8,AI,Python,"Deep Learning,Docker,ML,Python,SQL",5,0,Yes,77,68,79,74,90,87,Analytical,Machine Learning Engineer
Mechanical,7.6,Web,Computer Networks,"CSS,Git,JavaScript,Node,React,SQL",2,1,No,94,99,99,95,97,94,Management,Full Stack Developer
EEE,7.5,Business,Management,"Agile,Documentation,Excel,SQL",2,2,No,61,67,64,58,86,61,Creative,Business Analyst
IT,6.4,Data,DBMS,"Excel,Pandas,Python,SQL",4,2,No,72,69,84,59,68,99,Management,Data Analyst
EEE,9.4,Data,ML,"Excel,Pandas,Python,SQL,Tableau",5,3,No,65,63,64,83,50,80,Analytical,Data Analyst
Civil,7.1,Cloud,Computer Networks,"CI/CD,Docker,Git,Kubernetes,Linux,Teamwork",3,1,Yes,85,78,94,90,75,75,Management,DevOps Engineer
Civil,7.7,Cloud,Cloud Computing,"AWS,Docker,Networking,Terraform",2,0,No,86,84,76,76,87,78,Coding,Cloud Engineer
ECE,7.9,Web,JavaScript,"Git,Linux,Python,REST,SQL",0,0,No,65,57,62,82,50,72,Management,Backend Developer
EEE,8.5,Security,OS,"Communication,Linux,Networking,OWASP,SIEM",5,0,No,84,74,73,72,85,98,Coding,Cybersecurity Analyst
ECE,6.6,Cloud,Computer Networks,"CI/CD,Docker,Git,Kubernetes,Linux",2,0,No,73,66,77,59,74,69,Analytical,DevOps Engineer
Civil,7.9,Business,Management,"Agile,Documentation,Excel,SQL,Teamwork",1,2,No,68,78,75,82,93,83,Coding,Business Analyst
CSE,7.8,Web,JavaScript,"API testing,Docker,SQL,Selenium,Testing",2,2,No,92,87,82,99,77,85,Management,QA/Test Engineer
EEE,6.5,Web,Computer Networks,"CSS,Git,HTML,JavaScript,Linux,Node,React,SQL",3,0,No,88,94,82,99,83,99,Management,Full Stack Developer
Civil,6.8,Web,Computer Networks,"Git,Linux,Python,REST,SQL,Teamwork",3,2,Yes,84,85,81,99,74,76,Management,Backend Developer
ECE,8.6,Web,Web Technology,"CSS,Git,HTML,JavaScript,Linux,Node,React,SQL",4,2,No,61,71,68,58,53,52,Analytical,Full Stack Developer
Mechanical,9.1,Web,Computer Networks,"Git,Linux,Python,REST",5,3,No,81,80,72,71,67,99,Creative,Backend Developer
IT,8.9,Business,Management,"Agile,Documentation,Excel,Git,SQL",4,0,No,73,63,75,67,83,81,Coding,Business Analyst
ECE,6.6,Web,Computer Networks,"CSS,Git,HTML,JavaScript,Node,React,SQL",5,2,Yes,95,89,92,99,99,92,Analytical,Full Stack Developer
ECE,8.2,Security,Network Security,"Linux,Networking,OWASP,SIEM",0,2,Yes,84,93,87,97,86,99,Creative,Cybersecurity Analyst
ECE,9.5,Web,Computer Networks,"API testing,SQL,Selenium,Testing",5,0,Yes,71,65,75,77,65,73,Coding,QA/Test Engineer
Civil,9.1,Mobile,Mobile Computing,"Android,Git,Kotlin,REST",0,3,No,62,54,51,52,65,58,Analytical,Android Developer
Civil,7.7,Web,Web Technology,"CSS,HTML,JavaScript,Node,React,SQL",3,0,No,67,66,56,61,80,58,Coding,Full Stack Developer
Civil,7.7,Web,Web Technology,"Git,Linux,Python,REST,SQL",2,1,No,90,80,99,99,75,99,Coding,Backend Developer
EEE,7.4,Design,Graphics,"Figma,Prototyping,Wireframes",5,0,No,85,81,93,99,76,86,Creative,UI/UX Designer
Mechanical,7.4,Security,OS,"Linux,Networking,OWASP,SIEM,Statistics",5,2,Yes,72,73,73,59,72,90,Analytical,Cybersecurity Analyst
EEE,6.4,Cloud,OS,"AWS,Docker,Terraform",3,2,Yes,57,61,47,43,60,70,Coding,Cloud Engineer
CSE,8.9,Data,Statistics,"Excel,Pandas,Python,Tableau",4,3,Yes,68,62,83,81,55,93,Management,Data Analyst
CSE,9.0,Web,Web Technology,"API testing,SQL,Selenium,Teamwork,Testing",5,1,Yes,74,83,77,83,82,89,Coding,QA/Test Engineer
IT,6.6,Security,Cryptography,"Linux,Networking,OWASP,SIEM",3,0,No,56,48,59,41,44,58,Creative,Cybersecurity Analyst
CSE,7.0,Web,Computer Networks,"CSS,Git,HTML,JavaScript,Node,React,SQL",3,2,Yes,61,63,62,51,74,59,Coding,Full Stack Developer
ECE,8.6,Mobile,Kotlin,"Android,Kotlin,REST",1,2,No,80,70,90,81,65,75,Management,Android Developer
EEE,7.9,Design,UI Basics,"Figma,Prototyping,Research,Wireframes",3,2,Yes,82,85,79,86,92,72,Coding,UI/UX Designer
CSE,8.9,Data,ML,"ML,Pandas,Python,SQL,Statistics",3,1,No,74,80,77,81,87,99,Creative,Data Scientist
IT,8.9,Design,Graphics,"Git,Prototyping,Research,Wireframes",5,3,Yes,89,97,78,99,85,98,Coding,UI/UX Designer
Civil,7.1,Cloud,OS,"CI/CD,Git,Kubernetes,Linux",3,3,No,76,71,86,85,89,95,Creative,DevOps Engineer
Mechanical,8.7,Mobile,Kotlin,"Android,Communication,Git,Kotlin,REST",5,3,No,69,62,64,67,57,68,Creative,Android Developer
EEE,6.3,Mobile,Java,"Android,Git,Kotlin,REST",1,1,Yes,95,96,99,94,99,99,Analytical,Android Developer
CSE,8.6,Web,JavaScript,"Git,Linux,Python,REST,SQL",4,0,No,87,91,82,71,95,99,Coding,Backend Developer
Civil,8.3,Web,Computer Networks,"CSS,Git,HTML,JavaScript,React",2,0,No,82,74,80,87,71,78,Coding,Frontend Developer
ECE,8.1,Web,JavaScript,"API testing,SQL,Testing",3,1,No,86,89,90,99,73,85,Management,QA/Test Engineer
CSE,7.4,Web,Computer Networks,"CSS,Git,HTML,JavaScript,Node,React,SQL",4,2,No,69,65,74,66,63,89,Management,Full Stack Developer
Mechanical,8.0,Mobile,Kotlin,"Android,Git,Kotlin,REST",0,1,No,85,78,93,94,79,93,Analytical,Android Developer
ECE,8.0,Cloud,Computer Networks,"Communication,Docker,Git,Kubernetes,Linux",2,0,No,77,84,74,88,92,72,Analytical,DevOps Engineer
Civil,9.5,Data,Statistics,"Excel,Linux,Pandas,Python,SQL",1,3,No,68,61,84,59,82,72,Management,Data Analyst
IT,7.0,AI,Python,"Deep Learning,Docker,ML,Python,SQL",0,1,Yes,57,56,45,75,61,59,Creative,Machine Learning Engineer
CSE,7.6,Security,Network Security,"Linux,Networking,SIEM",5,0,No,88,90,99,73,79,87,Management,Cybersecurity Analyst
ECE,9.1,AI,Python,"Deep Learning,Docker,ML,SQL",1,0,No,80,83,82,79,91,82,Management,Machine Learning Engineer
Civil,9.4,Data,Data Mining,"Linux,ML,Pandas,Python,SQL,Statistics",4,2,No,92,82,92,98,86,99,Coding,Data Scientist
Civil,9.1,Web,Computer Networks,"Git,Linux,Python,SQL",1,3,No,84,87,84,92,92,77,Coding,Backend Developer
ECE,7.2,Security,Cryptography,"Linux,Networking,OWASP,SIEM",1,2,No,94,90,86,99,80,99,Analytical,Cybersecurity Analyst
EEE,8.7,AI,Python,"Deep Learning,Docker,ML,Python,SQL",5,1,No,86,84,77,94,85,77,Creative,Machine Learning Engineer
Civil,6.2,Web,Web Technology,"API testing,SQL,Selenium,Testing",0,2,No,85,89,76,98,89,99,Coding,QA/Test Engineer
Civil,9.5,AI,Deep Learning,"Deep Learning,Docker,ML,Python,SQL",1,1,No,56,46,51,52,64,50,Analytical,Machine Learning Engineer
ECE,6.7,Business,Economics,"Agile,Documentation,Excel",2,0,No,75,80,76,82,76,68,Analytical,Business Analyst
CSE,8.7,Cloud,Computer Networks,"CI/CD,Docker,Kubernetes,Linux",4,0,No,62,55,58,46,49,61,Creative,DevOps Engineer
Mechanical,6.2,Cloud,OS,"AWS,Docker,Terraform",2,0,No,94,87,87,80,99,99,Creative,Cloud Engineer
CSE,9.0,AI,Python,"Deep Learning,Docker,ML,Python,SQL",2,0,No,61,55,55,74,76,61,Coding,Machine Learning Engineer
CSE,7.1,Web,Web Technology,"CSS,Git,HTML,React",5,0,No,90,85,91,88,99,99,Analytical,Frontend Developer
ECE,7.5,Cloud,Computer Networks,"CI/CD,Docker,Kubernetes,Linux",2,0,No,89,83,90,99,95,86,Coding,DevOps Engineer
Mechanical,9.0,Security,Cryptography,"Linux,Networking,OWASP,SIEM",3,3,No,63,53,56,57,55,54,Management,Cybersecurity Analyst
CSE,6.4,Cloud,Computer Networks,"AWS,Docker,Excel,Networking,Terraform",1,0,No,81,82,90,97,95,75,Management,Cloud Engineer
Civil,7.9,Mobile,Kotlin,"Android,Git,Kotlin,REST",5,3,No,76,68,69,78,88,87,Management,Android Developer
ECE,8.3,Web,JavaScript,"Git,Linux,Python,REST,SQL",3,0,Yes,60,54,50,69,48,73,Coding,Backend Developer
Civil,8.3,Web,JavaScript,"CSS,Git,HTML,JavaScript,React",1,1,Yes,76,68,64,98,68,84,Analytical,Frontend Developer
Civil,7.7,Cloud,OS,"CI/CD,Docker,Git,Kubernetes,Linux",5,0,No,65,59,71,50,54,65,Management,DevOps Engineer
IT,8.9,Cloud,OS,"CI/CD,Docker,Excel,Git,Kubernetes,Linux",4,2,Yes,92,99,99,98,79,82,Management,DevOps Engineer
CSE,9.3,Design,HCI,"Figma,Prototyping,Research,Wireframes",0,3,Yes,78,76,83,99,89,79,Creative,UI/UX Designer
IT,8.6,Data,Statistics,"ML,Pandas,Python,SQL,Statistics",5,0,No,77,85,82,78,75,96,Coding,Data Scientist
IT,8.9,Web,JavaScript,"CSS,Git,HTML,JavaScript,React",5,1,No,83,90,73,93,75,81,Coding,Frontend Developer
IT,8.1,Data,Statistics,"ML,Pandas,Python,SQL,Statistics",2,0,No,80,83,93,68,75,81,Coding,Data Scientist
IT,9.5,Web,Web Technology,"Git,Linux,REST,SQL",3,2,No,81,83,84,93,73,85,Analytical,Backend Developer
ECE,9.4,Web,Computer Networks,"API testing,SQL,Selenium,Testing",5,1,No,74,80,71,92,80,68,Management,QA/Test Engineer
EEE,8.5,Data,ML,"ML,Pandas,Python,SQL",1,0,Yes,76,75,85,70,74,92,Coding,Data Scientist
Civil,7.9,Data,Statistics,"Excel,Pandas,Python,SQL,Tableau",1,1,No,83,79,99,68,95,86,Creative,Data Analyst
Civil,8.4,Data,ML,"Excel,Pandas,Python,SQL,Tableau",2,3,No,80,75,93,69,94,96,Analytical,Data Analyst
CSE,7.0,AI,Deep Learning,"Deep Learning,Docker,ML,Python,SQL,Statistics",3,1,No,63,73,74,70,73,78,Coding,Machine Learning Engineer
ECE,8.7,Security,OS,"Linux,Networking,OWASP,SIEM",3,0,No,90,92,98,76,99,89,Management,Cybersecurity Analyst
Civil,9.1,AI,Deep Learning,"Deep Learning,Docker,ML,Python,SQL",3,2,No,56,61,60,61,57,71,Management,Machine Learning Engineer
Civil,8.6,Cloud,OS,"AWS,Docker,Networking,Terraform",4,2,No,75,65,80,57,81,65,Creative,Cloud Engineer
ECE,6.7,Security,OS,"Linux,Networking,OWASP",0,3,No,78,75,69,61,72,95,Management,Cybersecurity Analyst
EEE,8.7,Web,JavaScript,"Docker,Git,Linux,Python,REST,SQL",0,2,No,75,84,83,88,87,82,Creative,Backend Developer
IT,8.6,Web,Computer Networks,"CSS,Git,HTML,JavaScript,React",0,0,No,89,83,78,99,92,96,Analytical,Frontend Developer
CSE,8.9,Cloud,OS,"CI/CD,Communication,Docker,Git,Kubernetes",3,1,Yes,92,95,83,95,85,84,Management,DevOps Engineer
IT,7.8,AI,Python,"Deep Learning,Docker,ML,Python,SQL",2,3,No,89,79,86,98,99,79,Creative,Machine Learning Engineer
ECE,9.4,Business,DBMS,"Agile,Documentation,Excel,SQL",0,1,Yes,82,82,81,76,79,92,Analytical,Business Analyst
CSE,9.2,Cloud,Cloud Computing,"CI/CD,Docker,Git,Linux",0,0,No,72,78,78,76,68,67,Analytical,DevOps Engineer
CSE,8.4,Data,Statistics,"Excel,Pandas,Python,SQL,Tableau",1,3,No,69,66,70,52,63,79,Management,Data Analyst
CSE,8.4,Web,Web Technology,"API testing,Selenium,Testing",5,1,No,95,89,99,89,82,94,Management,QA/Test Engineer
IT,7.2,Cloud,Cloud Computing,"CI/CD,Docker,Git,Kubernetes,Linux",2,3,No,67,74,68,74,60,76,Management,DevOps Engineer
IT,9.3,AI,Python,"Deep Learning,Linux,ML,Python,SQL",4,3,Yes,77,78,72,72,83,77,Coding,Machine Learning Engineer
Mechanical,8.3,Web,Web Technology,"CSS,Git,JavaScript,React",1,0,No,79,77,77,85,78,79,Coding,Frontend Developer
CSE,6.9,Web,JavaScript,"Git,Linux,Python,REST,SQL",0,0,No,64,71,70,65,51,61,Creative,Backend Developer
IT,7.6,Data,DBMS,"Communication,ML,Pandas,Python,SQL,Statistics",0,0,No,65,74,75,57,73,66,Creative,Data Scientist
Civil,7.9,Cloud,OS,"AWS,Docker,Networking,Terraform",2,0,No,84,83,74,71,81,99,Analytical,Cloud Engineer
Civil,7.1,Web,JavaScript,"Git,Linux,Python,REST,SQL",0,2,No,83,75,72,68,79,99,Coding,Backend Developer
IT,7.2,Design,Graphics,"Figma,Prototyping,Research,Wireframes",2,3,Yes,76,83,66,73,62,74,Management,UI/UX Designer
EEE,7.3,Business,Management,"Agile,Documentation,Excel,SQL",4,1,No,58,57,66,73,74,69,Creative,Business Analyst
Civil,8.3,Web,JavaScript,"API testing,SQL,Selenium,Testing",5,0,No,57,53,65,67,52,77,Analytical,QA/Test Engineer
ECE,7.3,Cloud,Cloud Computing,"CI/CD,Docker,Git,Linux",2,1,No,83,73,88,75,85,82,Creative,DevOps Engineer
Civil,7.4,Design,HCI,"Figma,Prototyping,Research,Wireframes",5,1,No,65,74,56,73,66,67,Coding,UI/UX Designer
EEE,6.7,Cloud,Computer Networks,"CI/CD,Docker,Git,Kubernetes,Linux",0,2,No,64,54,74,73,60,66,Coding,DevOps Engineer
Mechanical,6.1,Security,OS,"Linux,Networking,OWASP,SIEM",2,0,No,72,80,60,75,69,82,Analytical,Cybersecurity Analyst
CSE,6.2,Web,JavaScript,"Git,Linux,Python,REST,SQL",2,3,Yes,84,90,94,85,91,86,Coding,Backend Developer
Civil,8.1,Web,JavaScript,"CSS,Git,HTML,JavaScript,React",0,2,No,70,60,82,91,73,79,Management,Frontend Developer
EEE,6.7,Data,Statistics,"Excel,Pandas,Python,SQL,Tableau",2,0,No,71,81,66,76,77,95,Analytical,Data Analyst
IT,6.7,AI,Deep Learning,"Deep Learning,Docker,ML,Python,SQL",5,1,No,76,81,87,65,76,87,Management,Machine Learning Engineer
EEE,9.1,Web,Computer Networks,"CSS,Git,HTML,JavaScript,Node,React,SQL",4,0,No,60,63,72,52,53,64,Analytical,Full Stack Developer
CSE,8.0,Web,Computer Networks,"CSS,Git,HTML,JavaScript,Node,React,SQL,Teamwork",1,2,Yes,73,83,83,60,69,92,Management,Full Stack Developer
IT,9.0,Web,Web Technology,"API testing,Docker,SQL,Selenium,Testing",4,3,No,94,90,90,97,99,99,Analytical,QA/Test Engineer
EEE,6.5,Mobile,Java,"Android,Git,Kotlin,REST",2,1,Yes,57,53,52,41,48,51,Coding,Android Developer
IT,6.7,Business,Management,"Agile,Communication,Documentation,Excel,SQL",2,1,No,67,61,55,60,83,65,Creative,Business Analyst
Civil,8.4,Design,HCI,"Docker,Prototyping,Research,Wireframes",1,3,No,60,51,50,72,52,61,Creative,UI/UX Designer
EEE,8.3,AI,Python,"Deep Learning,Docker,ML,Python,Teamwork",0,3,No,87,81,99,80,94,95,Analytical,Machine Learning Engineer
ECE,9.2,Design,UI Basics,"Figma,Prototyping,Research,Wireframes",4,0,No,60,57,54,77,64,65,Management,UI/UX Designer
EEE,9.0,Security,Network Security,"Excel,Linux,OWASP,SIEM",2,3,No,68,73,75,53,56,76,Creative,Cybersecurity Analyst
IT,7.3,Data,Statistics,"Excel,Pandas,Python,SQL,Tableau",3,2,No,94,93,99,83,90,97,Management,Data Analyst
Mechanical,8.3,Security,OS,"Linux,Networking,OWASP,SIEM",1,3,No,57,49,47,58,52,58,Management,Cybersecurity Analyst
IT,8.2,Data,ML,"Docker,Excel,Pandas,Python,SQL,Tableau",1,3,No,79,86,81,74,70,78,Creative,Data Analyst
IT,7.1,Mobile,Java,"Android,Git,Kotlin,REST,Statistics",4,3,No,92,86,84,90,77,99,Analytical,Android Developer
CSE,6.8,Web,Computer Networks,"Git,Linux,Python,REST,SQL",5,0,No,61,51,73,49,60,56,Coding,Backend Developer
CSE,7.0,AI,Python,"Docker,Linux,ML,Python,SQL",1,0,Yes,68,61,77,63,80,79,Management,Machine Learning Engineer
Mechanical,7.9,Design,Graphics,"Figma,Prototyping,Research,Wireframes",2,2,No,83,73,83,79,91,74,Coding,UI/UX Designer
Civil,9.4,Web,Computer Networks,"API testing,SQL,Selenium,Testing",4,2,No,74,67,64,64,63,64,Analytical,QA/Test Engineer
ECE,7.9,Design,Graphics,"Docker,Figma,Prototyping,Research,Wireframes",5,1,Yes,94,99,93,99,89,99,Creative,UI/UX Designer
IT,7.0,Web,Web Technology,"CSS,Git,HTML,JavaScript,React",1,3,Yes,55,50,61,65,55,60,Management,Frontend Developer
ECE,8.3,Web,Web Technology,"Docker,Git,Linux,Python,REST,SQL",5,3,Yes,84,86,74,86,77,84,Creative,Backend Developer
Civil,9.3,Cloud,Computer Networks,"AWS,Docker,Networking,Terraform",5,0,No,55,55,55,67,43,63,Coding,Cloud Engineer
Mechanical,7.4,Data,Data Mining,"Communication,Excel,Pandas,Python,SQL,Tableau",3,3,No,77,86,88,83,75,84,Management,Data Analyst
CSE,7.6,Cloud,OS,"CI/CD,Docker,Git,Kubernetes,Linux,Statistics",2,0,Yes,75,84,78,64,72,74,Management,DevOps Engineer
EEE,7.3,AI,ML,"Deep Learning,Docker,ML,Python,SQL",0,2,No,56,53,65,40,61,69,Analytical,Machine Learning Engineer
EEE,8.4,Web,JavaScript,"API testing,Docker,SQL,Selenium,Testing",0,3,No,92,96,83,94,81,82,Creative,QA/Test Engineer
CSE,7.5,Web,Web Technology,"Git,Linux,Python,REST,SQL",0,3,No,76,82,71,79,85,71,Creative,Backend Developer
Mechanical,6.8,Data,Data Mining,"ML,Pandas,Python,SQL,Statistics,Teamwork",4,1,No,61,63,64,58,54,77,Creative,Data Scientist
EEE,8.1,Web,Computer Networks,"Git,Linux,Python,REST,SQL",3,2,No,74,70,80,59,78,94,Creative,Backend Developer
Civil,7.3,Design,Graphics,"Figma,Prototyping,Research,Wireframes",5,0,No,95,86,98,99,80,91,Coding,UI/UX Designer
